x,y,z,a,h,g
41.0898,0,0,0,1.0279,1.0357
39.4844,0,0.9869,0.2332,1.0279,1.0357
36.4767,0,1.9244,0.6996,1.0279,1.0357
31.5106,0,2.6381,1.2174,1.0279,1.0357
28.523,0,2.6165,1.455,1.0279,1.0357
25.2043,0,2.6375,1.5557,1.0279,1.0357
22.1774,0,2.4691,1.7105,1.0279,1.0357
18.968,0,2.4145,1.663,1.0279,1.0357
16.2722,0,2.2034,1.7714,1.0279,1.0357
13.7607,0,1.989,2.04,1.0279,1.0357
11.2867,0,1.811,1.8838,1.0279,1.0357
9.074,0,1.8127,1.7703,1.0279,1.0357
7.1265,0,2.2155,1.4823,1.0279,1.0357
3.1881,0,2.653,1.1851,1.0279,1.0357
0,0,3.815,0.5946,1.0279,1.0357
